time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
1760911200,6720.75,6726.5,6719,6720,6721.833333333333,6721.833333333333,6721.833333333333,1883
1760911260,6720.75,6721.25,6718.25,6718.25,6721.115905894386,6722.272907232626,6719.958904556146,724
1760911320,6718,6720.75,6716.75,6717.75,6720.603402734617,6722.088391645932,6719.118413823302,611
1760911380,6717.75,6718.75,6715.25,6716.25,6719.973355861709,6721.941984714853,6718.004727008565,629
1760911440,6716.25,6717.75,6715.5,6716.25,6719.513531799728,6721.692552610187,6717.33451098927,587
1760911500,6716.25,6719.5,6714.5,6718.75,6719.272733254375,6721.408755687745,6717.136710821006,632
1760911560,6718.75,6719,6716.5,6718.25,6719.212128355019,6721.318592988509,6717.105663721528,237
1760911620,6717.75,6718.25,6716.75,6718,6719.1740389920915,6721.268137669802,6717.079940314381,134
1760911680,6718,6718.5,6716.5,6717.25,6719.043021276596,6721.1097569163985,6716.976285636793,438
1760911740,6717.5,6720,6717.5,6718.75,6719.020803838289,6721.009156743725,6717.032450932853,482
1760911800,6718.5,6719.5,6718,6719,6719.012247910725,6720.955091939973,6717.069403881477,304
1760911860,6718.75,6720.5,6718.25,6720.25,6719.041618870089,6720.945192215837,6717.138045524342,313
1760911920,6720.25,6720.25,6717.75,6717.75,6719.023383358576,6720.890849743593,6717.155916973559,289
1760911980,6718.25,6719.5,6717.75,6719.25,6719.016328604888,6720.849158786559,6717.183498423217,280
1760912040,6719,6720.75,6719,6719.5,6719.039226389246,6720.847733886308,6717.230718892185,243
1760912100,6719.25,6719.5,6717.25,6718,6719.00676313629,6720.784608085707,6717.228918186873,334
1760912160,6718,6719.25,6717.5,6718.75,6718.991509396401,6720.744532761437,6717.238486031365,252
1760912220,6718.75,6719.25,6717.25,6717.25,6718.961191719869,6720.698453068522,6717.223930371216,243
1760912280,6717.5,6719.25,6717.25,6717.25,6718.901841106489,6720.60626433675,6717.1974178762275,519
1760912340,6717.25,6718.25,6717,6717.5,6718.863849016481,6720.557956544855,6717.169741488107,271
1760912400,6717.25,6717.5,6716,6716.5,6718.797247138881,6720.5074823182695,6717.087011959493,294
1760912460,6716.5,6716.75,6715.25,6715.25,6718.723365191147,6720.476552771465,6716.9701776108295,241
1760912520,6715.25,6715.75,6713,6714,6718.387072013398,6720.444708382925,6716.329435643872,808
1760912580,6714,6716,6713.75,6715.5,6718.248091206179,6720.368373930319,6716.12780848204,472
1760912640,6716,6717,6715.25,6716,6718.203310930726,6720.324050391864,6716.0825714695875,237
1760912700,6716.5,6717,6714.75,6716,6718.132899077912,6720.257774086802,6716.008024069022,364
1760912760,6716.5,6717.75,6716,6717.5,6718.082038691675,6720.167007190659,6715.99707019269,602
1760912820,6717.5,6717.75,6715.75,6716.5,6718.0504052884235,6720.122531967136,6715.978278609711,284
1760912880,6716.75,6716.75,6715,6715.25,6718.0083880943175,6720.085987207253,6715.930788981382,228
1760912940,6715.25,6716,6714.75,6715.5,6717.966207823156,6720.0527620842395,6715.879653562072,214
1760913000,6715.25,6716,6714.5,6715.25,6717.921110363224,6720.019177077468,6715.82304364898,222
1760913060,6715.25,6716,6713.75,6714,6717.83265380415,6719.9710294743945,6715.694278133906,364
1760913120,6714,6714.5,6713.5,6713.5,6717.740764452033,6719.93772587371,6715.543803030355,323
1760913180,6714,6714.75,6712.75,6714.5,6717.662093779016,6719.901118468604,6715.423069089427,302
1760913240,6714.75,6714.75,6713.5,6714.25,6717.570133803454,6719.849239538416,6715.291028068492,388
1760913300,6714.5,6715.5,6714.25,6715.5,6717.533255399689,6719.815281281029,6715.251229518349,222
1760913360,6715.5,6716,6715,6715.25,6717.464051865254,6719.739806785964,6715.188296944544,506
1760913420,6715.5,6716,6714.75,6715,6717.427054874304,6719.701491597205,6715.152618151404,263
1760913480,6715.5,6715.75,6714.5,6714.75,6717.398105133196,6719.674238476416,6715.121971789976,190
1760913540,6715,6715.25,6714.25,6714.25,6717.384564121789,6719.663553222774,6715.105575020803,77
1760913600,6714,6715.25,6713.5,6714.5,6717.338202132021,6719.629076747096,6715.047327516946,254
1760913660,6714.5,6716,6714.5,6715.75,6717.319478278523,6719.606965060781,6715.031991496266,160
